id,NAME,adm1_code,POSITIVE,NEGATIVE,DEATHS,POP,PCT_CVD
41,Milwaukee,WI330,101620,489278,1265,954209,9.39
13,Dane,WI332,42570,333360,289,529843,12.45
68,Waukesha,WI328,42447,178717,503,398879,9.40
5,Brown,WI360,30845,132190,233,259786,8.42
52,Racine,WI326,20806,98929,336,195398,9.39
45,Outagamie,WI353,20039,88689,200,184754,9.22
71,Winnebago,WI350,17602,82882,190,169926,9.65
30,Kenosha,WI321,15080,74490,304,168330,11.16
54,Rock,WI323,14948,75843,165,161769,10.82
67,Washington,WI335,14191,55368,142,134535,9.48
37,Marathon,WI367,13998,51828,184,135264,9.66
59,Sheboygan,WI365,13356,47909,134,115205,8.63
32,La Crosse,WI345,12487,55778,80,117850,9.44
20,Fond du Lac,WI342,12129,45770,105,102315,8.44
14,Dodge,WI337,11596,41673,161,87776,7.57
18,Eau Claire,WI363,11306,50167,105,102991,9.11
65,Walworth,WI324,9128,41994,136,103013,11.29
28,Jefferson,WI327,8126,36326,106,84652,10.42
46,Ozaukee,WI336,7930,42035,82,88284,11.13
36,Manitowoc,WI352,7374,31018,68,79407,10.77
9,Chippewa,WI371,7204,29516,94,63635,8.83
60,St. Croix,WI341,6970,36566,49,87917,12.61
72,Wood,WI357,6778,32222,77,73274,10.81
50,Portage,WI359,6576,27128,67,70599,10.74
8,Calumet,WI351,5636,21644,46,49807,8.84
3,Barron,WI378,5569,19526,76,45252,8.13
56,Sauk,WI370,5543,34970,44,63596,11.47
11,Columbia,WI339,5225,27368,56,56954,10.90
69,Waupaca,WI358,4792,20927,116,51444,10.74
22,Grant,WI331,4764,23615,84,51828,10.88
58,Shawano,WI385,4634,17568,69,41009,8.85
17,Dunn,WI369,4460,19104,31,44498,9.98
42,Monroe,WI346,4391,19141,36,45502,10.36
43,Oconto,WI374,4319,17129,49,37556,8.70
49,Polk,WI379,4068,19648,43,43349,10.66
38,Marinette,WI380,4016,18831,65,40537,10.09
16,Douglas,WI390,3791,19332,30,43402,11.45
48,Pierce,WI364,3673,17025,35,41603,11.33
44,Oneida,WI381,3524,15120,68,35345,10.03
62,Trempealeau,WI355,3481,12434,38,29438,8.46
23,Green,WI325,3391,16989,17,36864,10.87
10,Clark,WI366,3176,10950,58,34491,10.86
29,Juneau,WI348,3043,14574,21,26419,8.68
35,Lincoln,WI376,2962,10883,60,27848,9.40
27,Jackson,WI354,2583,9477,26,20506,7.94
15,Door,WI372,2539,14276,21,27439,10.81
31,Kewaunee,WI362,2308,7551,25,20360,8.82
64,Vilas,WI388,2198,9014,39,21593,9.82
70,Waushara,WI347,2125,10970,31,24116,11.35
25,Iowa,WI329,1961,11237,10,23620,12.04
34,Langlade,WI375,1948,7195,32,19164,9.84
63,Vernon,WI340,1882,12686,38,30516,16.21
61,Taylor,WI373,1831,5980,24,20356,11.12
12,Crawford,WI333,1680,7544,17,16288,9.70
1,Adams,WI349,1649,8168,10,20073,12.17
57,Sawyer,WI338,1578,8397,23,16370,10.37
24,Green Lake,WI344,1548,7938,19,18757,12.12
33,Lafayette,WI322,1513,6644,7,16735,11.06
66,Washburn,WI386,1367,6592,18,15689,11.48
39,Marquette,WI343,1342,6277,21,15207,11.33
6,Buffalo,WI356,1330,5415,7,13167,9.90
53,Richland,WI334,1276,8096,15,17539,13.75
55,Rusk,WI377,1273,5106,16,14183,11.14
7,Burnett,WI387,1252,6100,21,15258,12.19
2,Ashland,WI392,1209,7145,16,15712,13.00
51,Price,WI382,1188,5638,7,13490,11.36
4,Bayfield,WI391,1099,6964,19,14992,13.64
21,Forest,WI384,938,4368,23,9018,9.61
47,Pepin,WI361,822,3130,7,7262,8.83
40,Menominee,WI368,790,3781,11,4579,5.80
26,Iron,WI389,570,2597,21,5715,10.03
19,Florence,WI383,434,1617,12,4337,9.99
